id,sequence,name,description,phase_id/id,days
project_template_idea_task_01,1,Comunicación: Plan de acción y resumen ejecutivo,"Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar su comunicación. Elaborar un resumen ejecutivo del proceso de mejora en sus habilidades de comunicación, resumiendo lo aprendido y lo aplicado para lograr sus resultados.",project_rz_g2.project_template_idea_phase_01,5
project_template_idea_task_02,2,Liderazgo: Plan de acción y resumen ejecutivo,"Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar su liderazgo. Elaborar un resumen ejecutivo del proceso de mejora en sus habilidades de liderazgo, resumiendo lo aprendido y lo aplicado para lograr sus resultados.",project_rz_g2.project_template_idea_phase_01,5
project_template_idea_task_03,3,Manejo del tiempo: Plan de acción y resumen ejecutivo,Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar el manejo del tiempo. Elaborar un resumen ejecutivo del proceso de mejora en sus habilidades de manejo del tiempo resumiendo lo aprendido y lo aplicado para lograr sus resultados.,project_rz_g2.project_template_idea_phase_01,5
project_template_idea_task_04,4,"Coaching y Guía a subordinados, círculo de influencia y/o socios durante el proceso de seguimiento. Plan de acción y resumen ejecutivo.                 ","Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar el hacer preguntas críticas a el mismo y a los demás. Elaborar un resumen ejecutivo del proceso de mejora del hábito de hacer preguntas críticas, resumiendo lo aprendido y lo aplicado para lograr sus resultados",project_rz_g2.project_template_idea_phase_01,5
project_template_idea_task_05,5,Bibliografía propuesta: Plan de acción,Presentar un plan de acción  aplicando al menos dos puntos extraídos del libro recomendado por el Evaluador (ver lista bibliográfica propuesta).,project_rz_g2.project_template_idea_phase_01,5
project_template_idea_task_06,6,Actitudes y hábitos generales: Resumen ejecutivo,"Elaborar un resumen ejecutivo del proceso de mejora de tus actitudes y hábitos, resumiendo lo aprendido y lo aplicado para lograr sus resultados",project_rz_g2.project_template_idea_phase_01,5
project_template_idea_task_07,1,Análisis de competencia: Fuerzas competitivas de Porter,"Presentar resumen ejecutivo de la investigación de competencia incluyendo barreras de entrada, proveedores, competidores directos y potenciales, así como clientes y productos sustitutos.",project_rz_g2.project_template_idea_phase_02,5
project_template_idea_task_08,2,"Análisis estratégico FODAT, ventaja competitiva, alianzas y riesgos del negocio.","Realizar y presentar el análisis estratégico FODAT,  comparativos frente a la competencia directa, definición clara de ventaja competitiva y descripción de alianzas  y riesgos del negocio.",project_rz_g2.project_template_idea_phase_02,5
project_template_idea_task_09,3,"Elementos estratégicos: Misión, visión, valores corporativos y políticas claves del negocio","Resumen Ejecutivo listando en donde se ve a la empresa en 5 años, su razón de existir y los valores personales que se quieren transmitir por medio de ella. ",project_rz_g2.project_template_idea_phase_02,5
project_template_idea_task_10,4,"Objetivos SMART a corto (1 año), mediano (2-3 años) y largo plazo (4-5 años).",Presentar objetivos de corto plazo (SMART) alineados a los elementos estratégicos. ,project_rz_g2.project_template_idea_phase_02,5
project_template_idea_task_11,5,Plan de acción detallado a corto plazo,Presenta un listado de actividades clave para consolidación de la empresa con responsable y fechas. Las actividades deben estar alineadas con los elementos estrategicos.,project_rz_g2.project_template_idea_phase_02,5
project_template_idea_task_12,6,Costos de entrada al mercado,"Resumen de costos estimados asociados con la entrada al mercado (Certificaciones, canal de distribución, competir a menor precio, etc)",project_rz_g2.project_template_idea_phase_02,5
project_template_idea_task_13,1,Definición del mercado meta,"Resumen ejecutivo listando necesidad a cubrir, descripción del perfil del cliente (habitos de consumo, frecuencia de compra, atributos que busca en el servicio o producto), solución que se ofrece en contraste con atributos que busca el cliente, canales de distribución, penetración de mecado esperada el primer año, tamaño del mercado y tendencias.",project_rz_g2.project_template_idea_phase_03,5
project_template_idea_task_14,2,"Análisis Precio - Costo (estrategia de precio hacia el consumidor y distribuidores, banda de precios y descuentos)","Análisis del perfil del cliente y hábitos de consumo; catálogo de productos y servicios, así como banda de precios y descuentos.",project_rz_g2.project_template_idea_phase_03,5
project_template_idea_task_15,3,Proceso de prospección y ventas,"Plan de comercialización, definición del proceso de prospección y ventas y ciclo de ventas y estacionanalidad. ",project_rz_g2.project_template_idea_phase_03,5
project_template_idea_task_16,4,Posicionamiento de marca,Plan de posicionamiento de marca. Identidad corporativa.,project_rz_g2.project_template_idea_phase_03,5
project_template_idea_task_17,5,Presupuestos y proyección de ventas y marketing,Proyección de ventas por producto/servicio por periodos de tiempo y presupuesto de marketing para el año en curso. Estimado de un presupuesto de ventas y de marketing.,project_rz_g2.project_template_idea_phase_03,5
project_template_idea_task_18,1,Análisis de factores productivos,"Listado de qué validaciones y certificaciones requieren para entrar al mercado, cuánto cuestan y cuánto tiempo tomaría.",project_rz_g2.project_template_idea_phase_04,5
project_template_idea_task_19,2,Proveedores y mapeo general del proceso productivo,"Identificación de proveedores más importantes, insumos y principales canales de distribución. Diagrama de flujo simple que describa el proceso productivo.",project_rz_g2.project_template_idea_phase_04,5
project_template_idea_task_20,3,Procesos y requerimientos para la operación,"Identificación de principales procesos y requerimientos de infraestructura (materias primas, insumos, tecnología, área mínima con distribución de planta para la operación de la empresa, etc.).  Definición de principales métricos: Llenar sección 6 de Lean Canvas model.  Creación de diagrama de flujo con métricos.",project_rz_g2.project_template_idea_phase_04,5
project_template_idea_task_21,4,Descripción del modelo ,Descricpción del modelo de negocio (Lean Canvas sección 5 (Cost Structure). ,project_rz_g2.project_template_idea_phase_04,5
project_template_idea_task_22,5,Estrategia de distribución y costos operativos,"Resumen de los costos de inversión y operación (fijos y variables). Estrategia de distribución, ubicación óptima, etc. ",project_rz_g2.project_template_idea_phase_04,5
project_template_idea_task_23,1,"Análisis de alternativas legales, establecimiento de la empresa.",Identificadar las alternativas legales y fiscales para establecer la empresa dándola de alta en SHCP.,project_rz_g2.project_template_idea_phase_05,5
project_template_idea_task_24,2,Borrador de estructura organizacional para el primer año,Realizar el primer borrador de estructura organizacional con base en funciones clave para primer año de operaciones. ,project_rz_g2.project_template_idea_phase_05,5
project_template_idea_task_25,3,Funciones clave y proceso de entrevista,Definir claramente las funciones clave de la empresa y desarrollar un proceso de entrevista con preguntas estándar para la selección de candidatos.,project_rz_g2.project_template_idea_phase_05,5
project_template_idea_task_26,4,Plan de capacitación,"Identificar habilidades que no existen y son requisito para el éxito de la empresa, así como las necesidades de capacitación a futuro. ",project_rz_g2.project_template_idea_phase_05,5
project_template_idea_task_27,5,Consolidación y resumen de costos de personal.,"Resumen de la estructura de costos de personal actual (sueldo fijo, variable, comisionistas) y de necesidades de personal a futuro.   Actualización de sección 5 Lean Canvas (Cost Structure) y creación de sección 7.",project_rz_g2.project_template_idea_phase_05,5
project_template_idea_task_28,1,Consolidado de información económica y financiera del proyecto.,Consolidar toda la información financiera (ingresos vs. egresos) y económica usando la información obtenida de las fases previas.,project_rz_g2.project_template_idea_phase_06,5
project_template_idea_task_29,2,Estado de resultados y prespupuesto anual,Creación de estados de resultados y flujos de efectivo proyectados del primer año. Elaboración de presupuesto anual.,project_rz_g2.project_template_idea_phase_06,5
project_template_idea_task_30,3,Método de análisis,"Análisis del Punto de Equilibrio y Retorno sobre la Inversión
Valor Presente Neto y Tasa Interna de Retorno
Análisis de Escenarios Múltiples
Análisis de Sensibilidad",project_rz_g2.project_template_idea_phase_06,5
project_template_idea_task_31,4,Resumen ejecutivo y conclusiones,"Resumir inversión requerida y estrategia de obtención de fondos (Inversionistas, propio, orgánico, financiamiento, etc). Estrategia de inversión, implementar, medir, administrar y controlar ajustes radicales al proyecto. Listar ministraciones propuestas así como hitos correspondientes.",project_rz_g2.project_template_idea_phase_06,5
project_template_desa_task_01,1,Comunicación: Plan de acción y resumen ejecutivo,"Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar su comunicación. Elaborar un resumen ejecutivo del proceso de mejora en sus habilidades de comunicación, resumiendo lo aprendido y lo aplicado para lograr sus resultados.",project_rz_g2.project_template_desa_phase_01,5
project_template_desa_task_02,2,Liderazgo: Plan de acción y resumen ejecutivo,"Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar su liderazgo. Elaborar un resumen ejecutivo del proceso de mejora en sus habilidades de liderazgo, resumiendo lo aprendido y lo aplicado para lograr sus resultados.",project_rz_g2.project_template_desa_phase_01,5
project_template_desa_task_03,3,Manejo del tiempo: Plan de acción y resumen ejecutivo,Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar el manejo del tiempo. Elaborar un resumen ejecutivo del proceso de mejora en sus habilidades de manejo del tiempo resumiendo lo aprendido y lo aplicado para lograr sus resultados.,project_rz_g2.project_template_desa_phase_01,5
project_template_desa_task_04,4,"Coaching y Guía a subordinados, círculo de influencia y/o socios durante el proceso de seguimiento. Plan de acción y resumen ejecutivo.                 ","Realizar y presentar un plan de acción mostrando iniciativas prácticas y reales de cómo planea mejorar el hacer preguntas críticas a el mismo y a los demás. Elaborar un resumen ejecutivo del proceso de mejora del hábito de hacer preguntas críticas, resumiendo lo aprendido y lo aplicado para lograr sus resultados",project_rz_g2.project_template_desa_phase_01,5
project_template_desa_task_05,5,Bibliografía propuesta: Plan de acción,Presentar un plan de acción  aplicando al menos dos puntos extraídos del libro recomendado por el Evaluador (ver lista bibliográfica propuesta).,project_rz_g2.project_template_desa_phase_01,5
project_template_desa_task_06,6,Actitudes y hábitos generales: Resumen ejecutivo,"Elaborar un resumen ejecutivo del proceso de mejora de tus actitudes y hábitos, resumiendo lo aprendido y lo aplicado para lograr sus resultados",project_rz_g2.project_template_desa_phase_01,5
project_template_desa_task_07,1,"Conocimiento de la industria, análisis competitivo. ","Presentar un resumen ejecutivo del conocimiento de mejores prácticas en la industria, competencia, barreras de entrada, proveedores, alianzas necesarias y riesgos del negocio.",project_rz_g2.project_template_desa_phase_02,5
project_template_desa_task_08,2,"Análisis estratégico FODAT, ventaja competitiva, alianzas y riesgos del negocio.","FODAT con equipo de trabajo, comparativo frente a competencia directa e implementación de acciones para aprovechar sus fortalezas y oportunidades. Bosquejo de alianzas necesarias y plan para minimizar riesgos del negocio.",project_rz_g2.project_template_desa_phase_02,5
project_template_desa_task_09,3,"Elementos estratégicos: Misión, visión, valores corporativos y políticas claves del negocio",Validación de elementos estratégicos claros que comparten los socios y el conocimiento pleno de los mimsos entre colaboradores.,project_rz_g2.project_template_desa_phase_02,5
project_template_desa_task_10,4,"Objetivos SMART a corto (1 año), mediano (2-3 años) y largo plazo (4-5 años).","Presentar objetivos de corto, mediano y largo plazo (SMART) alineados a los elementos estratégicos.",project_rz_g2.project_template_desa_phase_02,5
project_template_desa_task_11,5,Plan de acción detallado a corto plazo.,"Plan de acción a corto y algunos de mediano plazo con fecha límite, correlación con objetivos, estatus y responsable.",project_rz_g2.project_template_desa_phase_02,5
project_template_desa_task_12,1,Definición del mercado meta,"Resumen ejecutivo de necesidad a cubrir, descripción del perfil del cliente (habitos de consumo, frecuencia de compra, atributos que busca en el servicio o producto), solución que se ofrece en contraste con atributos que busca el cliente, canales de distribución, penetración de mecado esperada en los siguientes  tres años. Información concretea del mercado con base en pruebas piloto, prototipos prueba y encuestas del producto/servicio que permiten un mejor conocimiento de su perfil de cliente y nicho.",project_rz_g2.project_template_desa_phase_03,5
project_template_desa_task_13,2,Análisis Precio - Costo (estrategia de precio hacia el consumidor y distribuidores). Plan de Promoción - Comunicación (difusión del producto/servicio). ,"Clasificación de diferentes tipos de clientes y sus hábitos de consumo. Productos y servicios más adecuados a las necesidades del cliente y enfocados a la demanda. Banda de precios, descuentos y paquetes para diferentes tipos de cliente.",project_rz_g2.project_template_desa_phase_03,5
